Order_ID,Date,City,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Delivery_Time,Customer_Rating,Payment_Mode,Delivery_Type,Seller_Name
1001,28-04-2024,Delhi,Wheat Flour 1kg,dairy,two,50,250.0,43,4.0,cash,Standard,FreshFarm
1002,09-06-2024,delhi,Sugar 1kg,Grocery,3,60,180.0,58,,UPI,Standard,BakeHouse
1003,12-01-2024,Pune,Cake 500g,Vegetables,4,70,280.0,90,N/A,Card,express,FreshFarm
1004,2024-06-18,Bengaluru,Onion 1kg,Vegetables,2,55,110.0,43,4.7,upi,express,GroceryHub
1005,2024/05/15,Jaipur,Banana 1dozen,Grocery,,100,300.0,36,4.0,UPI,express,FarmFresh
1006,2024/05/03,Mumbai,Rice 1kg,grocery,4,40,160.0,34,N/A,cash,standard,GreenCart
1007,27-05-2024,Delhi,Namkeen 500g,Snacks,2,85,170.0,41,3.5,upi,express,SnackBox
1008,2024-03-27,delhi,Milk 1L,Bakery,,55,165.0,38,4.2,cash,Express,FreshFarm
1009,2024-01-27,Delhi,Namkeen 500g,Fruits,,40,200.0,55,4.9,Cash,standard,FarmFresh
1010,2024/05/19,Bengaluru,Onion 1kg,dairy,two,50,250.0,75,N/A,upi,standard,BakeHouse
1011,2024/01/20,delhi,Bun 2pcs,dairy,two,,,27,4.9,cash,standard,GroceryHub
1012,2024/05/28,Jaipur,Chips 200g,Vegetables,,80,320.0,77,4.9,cash,Express,FreshFarm
1013,12-04-2024,Mumbai,Paneer 200g,dairy,3,30,90.0,75,4.7,cash,express,FreshFarm
1014,24-02-2024,Jaipur,Chicken 1kg,Poultry,,,,39,N/A,upi,Standard,FarmFresh
1015,2024-04-01,Jaipur,Apple 1kg,Vegetables,two,50,200.0,29,4.5,Cash,Standard,SnackBox
1016,2024/04/24,Bengaluru,Tomato 1kg,Snacks,4,40,160.0,80,3.5,Cash,standard,FarmFresh
1017,2024/03/12,Mumbai,Apple 1kg,Dairy,5,,,52,N/A,UPI,standard,GroceryHub
1018,2024/02/26,Banglore,Chicken 1kg,dairy,,45,225.0,66,4.9,Cash,Express,GreenCart
1019,2024-06-24,Jaipur,Onion 1kg,Vegetables,2,70,140.0,58,4.8,cash,Standard,BakeHouse
1020,2024/05/04,delhi,Cookies 300g,Dairy,2,70,140.0,29,4.9,upi,standard,FreshFarm
1021,17-02-2024,Banglore,Banana 1dozen,Fruits,2,55,110.0,46,,upi,express,SnackBox
1022,2024-03-12,Pune,Orange 1kg,grocery,2,50,100.0,35,4.5,Card,Standard,FarmFresh
